,State,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,num_parents,num_children,state_id
83,District of Columbia,1p3c,2074.0,1078.0,681.0,1244.0,1142.0,4069.0,2615.0,12905.0,1.0,3.0,11
84,District of Columbia,1p4c,2074.0,1320.0,713.0,1522.0,1230.0,4069.0,2695.0,13623.0,1.0,4.0,11
85,District of Columbia,2p0c,1419.0,686.0,601.0,822.0,763.0,0.0,714.0,5004.0,2.0,0.0,11
86,District of Columbia,2p1c,1618.0,854.0,696.0,1100.0,896.0,1666.0,1195.0,8025.0,2.0,1.0,11
87,District of Columbia,2p2c,1618.0,1082.0,747.0,1378.0,978.0,3504.0,1906.0,11212.0,2.0,2.0,11
88,District of Columbia,2p3c,2074.0,1321.0,777.0,1655.0,1230.0,4069.0,2517.0,13644.0,2.0,3.0,11
89,District of Columbia,2p4c,2074.0,1616.0,790.0,1933.0,1337.0,4069.0,2645.0,14465.0,2.0,4.0,11
90,Florida,1p0c,760.3134328358209,288.1940298507463,861.9253731343283,449.7910447761194,379.92537313432837,0.0,418.65671641791045,3159.0,1.0,0.0,12
91,Florida,1p1c,1007.4626865671642,424.7910447761194,935.5970149253732,676.6865671641791,519.0,562.3432835820895,424.25373134328356,4550.164179104478,1.0,1.0,12
92,Florida,1p2c,1007.4626865671642,622.3731343283582,1015.4029850746268,903.776119402985,590.5074626865671,954.1044776119403,419.44776119402985,5513.089552238806,1.0,2.0,12
93,Florida,1p3c,1339.4925373134329,830.2835820895523,1079.4626865671642,1130.6268656716418,786.2388059701492,1074.6567164179105,560.4626865671642,6801.164179104478,1.0,3.0,12
94,Florida,1p4c,1339.4925373134329,1016.2985074626865,1115.402985074627,1357.5671641791046,853.5671641791045,1074.6567164179105,535.8955223880597,7293.014925373134,1.0,4.0,12
95,Florida,2p0c,823.8507462686567,528.4179104477612,1040.9850746268658,899.5820895522388,489.92537313432837,0.0,497.1194029850746,4280.014925373134,2.0,0.0,12
96,Florida,2p1c,1007.4626865671642,657.7014925373135,1118.1940298507463,1126.55223880597,603.4029850746268,562.3432835820895,548.3582089552239,5624.014925373134,2.0,1.0,12
97,Florida,2p2c,1007.4626865671642,832.955223880597,1181.3731343283582,1353.7014925373135,666.8805970149253,954.1044776119403,519.7462686567164,6516.134328358209,2.0,2.0,12
98,Florida,2p3c,1339.4925373134329,1017.0149253731344,1216.2686567164178,1580.4179104477612,853.7910447761194,1074.6567164179105,588.7014925373135,7670.373134328358,2.0,3.0,12
99,Florida,2p4c,1339.4925373134329,1244.4776119402984,1245.402985074627,1807.4179104477612,936.2835820895523,1074.6567164179105,546.6417910447761,8194.462686567163,2.0,4.0,12
100,Georgia,1p0c,609.1761006289308,264.9559748427673,920.6477987421383,428.2138364779874,316.7295597484277,0.0,491.45911949685535,3031.238993710692,1.0,0.0,13
101,Georgia,1p1c,764.9874213836478,390.4654088050315,981.8553459119497,642.9937106918239,418.69182389937106,494.25786163522014,487.42767295597486,4180.805031446541,1.0,1.0,13
102,Georgia,1p2c,764.9874213836478,572.1320754716982,1044.2767295597484,857.622641509434,484.45283018867923,788.6729559748428,464.39622641509436,4976.773584905661,1.0,2.0,13
103,Georgia,1p3c,1005.622641509434,763.3207547169811,1087.7610062893082,1072.7610062893082,640.9245283018868,879.2138364779875,571.9245283018868,6021.402515723271,1.0,3.0,13
104,Georgia,1p4c,1005.622641509434,934.3018867924528,1112.3270440251572,1287.4905660377358,702.8867924528302,879.2138364779875,531.5723270440252,6453.3836477987425,1.0,4.0,13
105,Georgia,2p0c,634.5157232704403,485.8050314465409,1087.8993710691823,856.4276729559748,405.8867924528302,0.0,576.2641509433962,4046.710691823899,2.0,0.0,13
106,Georgia,2p1c,764.9874213836478,604.6037735849056,1146.9559748427673,1071.2138364779873,496.2704402515723,494.25786163522014,630.6666666666666,5209.012578616353,2.0,1.0,13
107,Georgia,2p2c,764.9874213836478,765.8301886792453,1188.553459119497,1286.0314465408806,554.6415094339623,788.6729559748428,587.1509433962265,5935.735849056604,2.0,2.0,13
108,Georgia,2p3c,1005.622641509434,934.8427672955975,1212.301886792453,1500.817610062893,703.0817610062893,879.2138364779875,645.2327044025158,6881.207547169812,2.0,3.0,13
109,Georgia,2p4c,1005.622641509434,1144.0503144654087,1224.2075471698113,1715.74213836478,778.8805031446541,879.2138364779875,598.125786163522,7345.761006289308,2.0,4.0,13
110,Hawaii,1p0c,1181.6,423.2,951.0,387.8,581.8,0.0,828.6,4353.8,1.0,0.0,15
111,Hawaii,1p1c,1692.8,621.6,1016.0,581.8,838.6,719.6,1118.0,6589.0,1.0,1.0,15
112,Hawaii,1p2c,1692.8,874.0,1079.4,776.0,930.0,1444.4,1417.0,8213.6,1.0,2.0,15
113,Hawaii,1p3c,2334.4,1178.0,1146.8,970.6,1272.6,1667.6,1988.0,10557.4,1.0,3.0,15
114,Hawaii,1p4c,2334.4,1450.2,1166.8,1164.6,1371.6,1667.6,2062.0,11216.2,1.0,4.0,15
115,Hawaii,2p0c,1322.0,776.2,1154.0,775.0,760.4,0.0,983.4,5771.2,2.0,0.0,15
116,Hawaii,2p1c,1692.8,963.8,1213.4,969.2,962.6,719.6,1242.8,7764.6,2.0,1.0,15
117,Hawaii,2p2c,1692.8,1185.2,1283.2,1163.8,1042.8,1444.4,1462.0,9274.0,2.0,2.0,15
118,Hawaii,2p3c,2334.4,1454.2,1301.4,1357.8,1372.6,1667.6,1973.2,11461.2,2.0,3.0,15
